NAME	GS_SIZE	ES	NES	NOM_pval	FDR_qval	FWER_pval	RANK_AT_MAX	LEADING_EDGE
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	18	-0.44855599406296	-1.31841466723959	0.134090909090909	0.248869812252964	0.248869812252964	NA	POLR3F,POLR1D,POLR3C,POLR3B,POLR3GL,POLR3D,POLR1C,POLR3E,POLR2K,POLR3K
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	33	-0.385046794145672	-1.3192534026837	0.107655502392345	0.216260906276386	0.216260906276386	NA	GTF2H1,POLR2A,CDK7,SUPT5H,GTF2F2,GTF2F1,POLR2C,NELFA,POLR2J,NELFCD,NCBP2,POLR2B,ERCC3,POLR2K,POLR2I,SUPT4H1,NELFB,GTF2H4,MNAT1,NELFE
KEGG_ENDOMETRIAL_CANCER	52	-0.355715047344738	-1.3208473752112	0.103535353535354	0.210773908985533	0.210773908985533	NA	SOS1,APC,BRAF,PIK3CG,PIK3R1,MAPK1,SOS2,PTEN,TCF7L2,AXIN1,PDPK1,GSK3B,AKT2,PIK3CB,PIK3CA,CTNNA1,CASP9,MLH1,GRB2,TP53,RAF1,KRAS,AKT3,ELK1,AKT1,FOXO3,MAP2K1
REACTOME_REGULATED_NECROSIS	59	-0.342524886614021	-1.3215881524951	0.0786240786240786	0.175634844101575	0.175634844101575	NA	OGT,PDCD6IP,IRF2,ITCH,IL18,HSP90AA1,MLKL,CASP4,CHMP2B,RIPK1,CYCS,TNFRSF10A,BIRC2,UBC,RIPK3,IL1A,CHMP4A,CHMP3,CASP5,TNFRSF10B,TP53,UBB,CASP1,STUB1,FADD,FLOT2,HMGB1,SDCBP,CHMP4B,UBA52,CDC37
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	27	-0.40314158602565	-1.32244601898854	0.12	0.232402413970211	0.232402413970211	NA	PAK2,MAPKAP1,HSP90AA1,CTNND1,MTOR,PDPK1,AKT2,VAV3,VAV1,CTNNA1
KEGG_INSULIN_SIGNALING_PATHWAY	137	-0.296617324378967	-1.32251306287683	0.0143221535786252	0.0452871800657453	0.0452871800657453	NA	CRKL,HK2,SOS1,SHC1,EXOC7,ACACB,CBL,BRAF,MAPK9,PHKA2,PPP1R3D,PIK3CG,PYGL,MAPK8,PRKACB,PIK3R1,TRIP10,MAPK1,RHOQ,SOS2,INPP5D,PRKAB1,RAPGEF1,PRKAA1,IKBKB,PPP1CB,CBLB,SH2B2,MTOR,PRKAR1A,PDPK1,GSK3B,AKT2,CALM2,PTPN1,PIK3CB,PIK3CA,PRKAG1,PRKAR2A,GRB2,TSC2,PRKACA,RAF1,RPTOR,KRAS,PCK2,EIF4EBP1,PPP1CC,RHEB,RPS6,PHKB,AKT3,EIF4E2,FLOT2,PRKCI,MKNK1,SREBF1,HK3,ELK1,CALM1,PHKA1,AKT1,RPS6KB2,RPS6KB1,MAP2K1
REACTOME_RHOF_GTPASE_CYCLE	42	-0.370567853715363	-1.32672271379127	0.0886075949367089	0.191213230147779	0.191213230147779	NA	MTMR1,ADD3,SNAP23,DIAPH2,TMPO,PIK3R1,ARHGAP12,TOR1AIP1,ARHGAP21,MYO9B,RAB7A
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	218	-0.277443650883901	-1.32684758674524	0.0104709244334752	0.0354920168142112	0.0354920168142112	NA	CR1,PSMC6,BMI1,PTPN11,AGO4,PHC3,SMARCE1,AGO1,KMT2C,RYBP,EP300,KMT2A,PBRM1,SMARCC2,AGO3,ELF1,ARID1B,RNF2,TCF12,CSNK2A2,TNRC6A,CDK7,PSMB2,ARID2,TNRC6B,ITCH,ARID1A,SMARCC1,CREBBP,SMARCA4,SMARCA2,PCGF5,PSMC2,RUNX1,ELF2,SPI1,SIN3A,KMT2D,PSMB7,LMO2,KAT2B,AXIN1,LDB1,PSMD12,SETD1B,PSMD14,PSMD11,SMARCD1,KCTD6,H2BC4,PSMA1,ADRM1,H2BC12,YAF2,SETD1A,PSMC4,CSNK2A1,SCMH1,HIPK2,UBC,PSMD7,ITGA2B,PSMD2,LGALS3,PSMD1
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	47	-0.363342403496162	-1.32841224323668	0.104591836734694	0.211699500919359	0.211699500919359	NA	SMAD2,TGFBR1,CBL,MTMR4,SMAD4,TGFBR2,USP15,PPP1CB,ITGB1,XPO1,SMURF2,UBC,ITGB8,LTBP3,UBE2M,FKBP1A,UBB,UCHL5,TGFB1,STUB1,PPP1CC,SMURF1
REACTOME_DAP12_INTERACTIONS	44	-0.368274320258366	-1.32893039583703	0.0883838383838384	0.19103215701317	0.19103215701317	NA	SOS1,SHC1,SIRPB1,CLEC5A,PIK3R1,BTK,PLCG2,SYK,VAV3,TYROBP,PIK3CB,PIK3CA,SIGLEC14,GRB2,KRAS,HLA-C,B2M,LAT,TREM1,HLA-B,HLA-E
